source_text	target_text
mid: Ciao, come posso partecipare al progetto?	involve
mid: Chi posso contattare?	contact
mid: Ciao, dove posso ottenere maggiori informazioni?	contact
mid: Cos' è per loro l'accademia digitale?	fda
mid: Ciao vorrei sapere qual è la piattaforma di e-learning per loro?	fda
mid: Come è strutturata l'accademia digitale forthem?	structure
mid: Qual è la struttura della forthem Digital Academy?	structure
mid: Come posso iscrivermi a un corso?	enrollment
mid: Vorrei sapere come iscrivermi a corsi e attività	enrollment
mid: Quale riconoscimento ottengo dopo aver completato un corso?	certificate
mid: Cosa ottengo dopo una lezione?	certificate
mid: Ciao sto cercando un'attività specifica	activities
mid: Dove posso trovare le attività?	activities
mid: Ciao sto cercando i miei compiti	assignments
mid: Dove posso trovare i compiti che mi sono stati dati?	assignments
mid: Sto cercando corsi	courses
mid: Ciao dove posso trovare i corsi?	courses
mid: Ciao sto cercando un argomento specifico sul forum	forum
mid: dov'è il forum?	forum
mid: Ciao, sto cercando i miei appunti in azienda	grades
mid: Ehi, sai dove posso vedere i miei appunti?	grades
mid: Quali dati vengono raccolti?	data
mid: I miei dati vengono utilizzati?	data
mid: Kas ir viņiem?	project
mid: Labdien! Kāds ir forthem projekta mērķis?	project
mid: Kādas ir partneraugstskolas?	universities
mid: Sveiki, kuras augstskolas ir daļa no forthem?	universities
mid: Kas ir viņu partneri?	partners
mid: Sveiki, kas ir projekta partneri?	partners
mid: Kā piedalīties Forthem projektā?	involve
mid: Sveiki, kā es varu piedalīties projektā?	involve
mid: Ar ko es varu sazināties?	contact
mid: Labdien, kur es varu saņemt vairāk informācijas?	contact
mid: Kas viņiem ir digitālā akadēmija?	fda
mid: Sveiki,! Vēlos uzzināt, kāda ir e-mācību platforma viņiem?	fda
mid: Kāda ir digitālās akadēmijas struktūra?	structure
mid: Kāda ir forthem Digitālās akadēmijas struktūra?	structure
mid: Kā reģistrēties kursam?	enrollment
mid: Vēlos uzzināt, kā reģistrēties kursiem un aktivitātēm	enrollment
mid: Kādu atzinību es saņemu pēc kursa pabeigšanas?	certificate
mid: Ko es saņemu pēc nodarbības?	certificate
mid: Labdien! Meklēju konkrētu nodarbi.	activities
mid: Kur es varu atrast aktivitātes?	activities
mid: Labdien! Meklēju savu mājasdarbu.	assignments
mid: Kur es varu atrast mājasdarbu, kas man tika dots?	assignments
mid: Meklēju kursus	courses
mid: Labdien, kur var atrast kursus?	courses
mid: Labdien! Meklēju konkrētu tēmu forumā.	forum
mid: kur ir forums?	forum
mid: Labdien! Es meklēju savus vērtēšanas rādītājus uzņēmējdarbībā	grades
mid: Vai jūs zināt, kur es varu redzēt savus vērtēšanas rezultātus?	grades
mid: Kādi dati tiek apkopoti?	data
mid: Vai mani dati tiek izmantoti?	data
mid: Co jest dla nich?	project
mid: Witam, jaki jest cel projektu forthem?	project
mid: Jakie są uczelnie partnerskie?	universities
mid: Cześć, do których uniwersytetów należą?	universities
mid: Kim są partnerzy Them?	partners
mid: Witam, kim są partnerzy projektu?	partners
mid: Jak wziąć udział w projekcie forthem?	involve
mid: Cześć, jak mogę wziąć udział w projekcie?	involve
mid: Z kim mogę się skontaktować?	contact
mid: Witaj, gdzie mogę uzyskać więcej informacji?	contact
mid: Czym jest dla nich cyfrowa akademia?	fda
mid: Witam Chciałbym wiedzieć, co to jest platforma e-learningowa dla nich?	fda
mid: Jak zorganizowana jest cyfrowa akademia forthem?	structure
mid: Jaka jest struktura akademii cyfrowej?	structure
mid: Jak zarejestrować się na kurs?	enrollment
mid: Chciałbym wiedzieć, jak zarejestrować się na kursy i zajęcia	enrollment
mid: Jakie wyróżnienie otrzymam po ukończeniu kursu?	certificate
mid: Co dostanę po zajęciach?	certificate
mid: Dzień dobry, szukam konkretnej aktywności	activities
mid: Gdzie mogę znaleźć zajęcia?	activities
mid: Cześć, szukam pracy domowej.	assignments
mid: Gdzie mogę znaleźć pracę domową, którą mi dano?	assignments
mid: Szukam kursów	courses
mid: Witam, gdzie mogę znaleźć kursy?	courses
mid: Witam Szukam konkretnego tematu na forum	forum
mid: gdzie jest forum?	forum
mid: Witam, szukam moich notatek w biznesie	grades
mid: Hej, wiesz gdzie mogę zobaczyć moje notatki?	grades
mid: Jakie dane są gromadzone?	data
mid: Czy moje dane są wykorzystywane?	data
mid: ¿Qué es eso?	project
mid: Hola, ¿cuál es el propósito del proyecto forem?	project
mid: ¿Cuáles son las universidades asociadas?	universities
mid: Hola, ¿qué universidades forman parte de ellas?	universities
mid: ¿Quiénes son sus socios?	partners
mid: Hola, ¿quiénes son los socios del proyecto?	partners
mid: ¿Cómo participar en el proyecto Forem?	involve
mid: Hola, ¿cómo puedo participar en el proyecto?	involve
mid: ¿A quién puedo contactar?	contact
mid: Hola, ¿dónde puedo obtener más información?	contact
mid: ¿Qué es la academia digital?	fda
mid: Hola, ¿me gustaría saber qué es la plataforma de aprendizaje electrónico para ellos?	fda
mid: ¿Cómo está estructurada la academia digital for em?	structure
mid: ¿Cuál es la estructura de la Academia Digital forem?	structure
mid: ¿Cómo me inscribo en un curso?	enrollment
mid: Me gustaría saber cómo inscribirme en cursos y actividades	enrollment
mid: ¿Qué reconocimiento obtengo después de completar un curso?	certificate
mid: ¿Qué obtengo después de una clase?	certificate
mid: Hola, estoy buscando una actividad específica	activities
mid: ¿Dónde puedo encontrar las actividades?	activities
mid: Hola estoy buscando mi tarea	assignments
mid: ¿Dónde puedo encontrar la tarea que me dieron?	assignments
mid: Buscando cursos	courses
mid: Hola, ¿dónde puedo encontrar los cursos?	courses
mid: Hola, estoy buscando un tema específico en el foro	forum
mid: ¿Dónde está el foro?	forum
mid: Hola, estoy buscando mis notas en el negocio	grades
mid: Oye, ¿sabes dónde puedo ver mis notas?	grades
mid: ¿Qué datos se recopilan?	data
mid: ¿Se utilizan mis datos?	data
mid: What is forthem?	project
mid: Qu'est-ce que forthem?	project
mid: Cos'è forthem?	project
mid: Qué es forthem?	project
mid: What is forthem goal?	project
mid: Quel est le but du projet forthem?	project
mid: Qual è l'obiettivo di forthem?	project
mid: ¿Cuál es el objetivo de forthem?	project
mid: I'd like to know forthem goal	project
mid: J'aimerais savoir quel est l'objectif de forthem	project
mid: Vorrei sapere qual è l'obiettivo di forthem	project
mid: Me gustaría saber cuál es el objetivo de forthem	project
mid: Which universities are part of forthem ?	universities
mid: Quelles universités font partie de forthem?	universities
mid: Quali università fanno parte del progetto forthem?	universities
mid: Qué universidades forman parte del proyecto forthem?	universities
mid: I'd like to know in which universities I could go thanks to forthem	universities
mid: J'aimeras savoir dans quelles universités je pourrais me rendre grâce à forthem	universities
mid: Vorrei sapere in quali università potrei andare grazie a forthem	universities
mid: Me gustaría saber a qué universidades podría ir gracias a forthem	universities
mid: What are forthem's partners?	partners
mid: Quels sont les partenaires du projet forthem?	partners
mid: Quali sono i partner del progetto forthem?	partners
mid: Quiénes son los socios de Forthem?	partners
mid: How to get involved in forthem?	involve
mid: Comment participer au projet forthem?	involve
mid: Come partecipare al progetto forthem?	involve
mid: Cómo participar en el proyecto forthem?	involve
mid: Who can I contact?	contact
mid: Where can I get more information?	contact
mid: I'd like to get more information or contact	contact
mid: Qui puis-je contacter?	contact
mid: Où puis-je trouver plus d'informations?	contact
mid: J'aimerais avoir plus d'information ou contacter quelqu'un	contact
mid: Qui posso contattare?	contact
mid: Dove posso trovare più informazioni o contattare qualcuno?	contact
mid: Vorrei avere più informazioni	contact
mid: What is forthem digital academy?	fda
mid: What is forthem e-learning platform?	fda
mid: I'd like to know what is this forthem digital academy and e-learning platform	fda
mid: Qu'est-ce que forthem digital academy?	fda
mid: C'est quoi la plateforme d'e-learning de forthem?	fda
mid: J'aimerais savoir ce qu'est forthem digital academy et plateforme d'e-learning	fda
mid: Cos'è forthem digital academy?	fda
mid: Cos'è forthem e-learning platform?	fda
mid: Vorrei sapere cos'è l'accademia digitale e la piattaforma e-learning di Forthem	fda
mid: Qué es forthem digital academy?	fda
mid: Qué es la plataforma de e-learning forthem?	fda
mid: Me gustaría saber qué es la academia digital y la plataforma de e-learning de forthem	fda
mid: How is the forthem digital academy structured?	structure
mid: What is the structure of forthem digital academy?	structure
mid: Comment est structurée l'académie digitale forthem?	structure
mid: Quelle est la structure de l'académie digitale de forthem?	structure
mid: Come è strutturata l'accademia digitale di forthem?	structure
mid: Qual è la struttura dell'accademia digitale di forthem?	structure
mid: Cómo está estructurada la academia digital de forthem? structure?	structure
mid: How do I enroll in courses?	enrollment
mid: I would like to know how to enroll in courses or activities	enrollment
mid: Comment je m'inscris à un cours?	enrollment
mid: J'aimerais savoir comment m'inscrire aux cours et activités	enrollment
mid: Come faccio a iscrivermi a un corso?	enrollment
mid: Vorrei sapere come iscrivermi ai corsi e alle attività	enrollment
mid: Cómo me inscribo en un curso?	enrollment
mid: Me gustaría saber cómo inscribirme en los cursos y a las actividades	enrollment
mid: What recognition do I get for attending FORTHEM courses?	certificate
mid: Quelle reconnaissance j'obtiens après la complétion d'un cours?	certificate
mid: Quale riconoscimento ottengo dopo aver completato un corso?	certificate
mid: Qué reconocimiento obtengo tras completar un curso?	certificate
mid: What personal data is collected?	data
mid: Quali dati personali vengono raccolti?	data
mid: ¿Qué datos personales se recogen?	data
mid: Hello I'm searching for a speed dating activity	activities
mid: Bonjour je cherche une activité spécifique	activities
mid: Hi where can I find activities?	activities
mid: Salut où est-ce que je peux trouver les différentes activités disponnibles sur le site?	activities
mid: Hi I'm searching for my assignments	assignments
mid: Salut je cherche mes devoirs	assignments
mid: Hola estoy buscando mi tarea	assignments
mid: Hello where can I find my assignments?	assignments
mid: Bonjour, où puis-je trouver mes devoirs?	assignments
mid: Hello I'm searching for courses	courses
mid: Hi I'm searching for maths & business courses	courses
mid: Bonjour je cherche des cours	courses
mid: Salut je cherches des cours de maths ou d'anglais	courses
mid: Hola, busco clases de matemáticas o inglés	courses
mid: Hola, estoy buscando cursos	courses
mid: Hello I'm searching for a specific forum topic	forum
mid: Hi where can I find the forum?	forum
mid: Hola, dónde puedo encontrar el foro?	forum
mid: Bonjour je cherche un sujet précis sur le forum	forum
mid: Salut où est-ce que je peux trouver le forum?	forum
mid: Hello where can I find my grades?	grades
mid: Hola, dónde puedo encontrar mis notas?	grades
mid: Hi, what grades did I get in maths?	grades
mid: Bonjour, je cherche mes notes en business	grades
mid: Salut, tu saurais où je peux voir mes notes?	grades
